GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
131002A	253.103	82.036	3.9	55.59
130929A	135.028	-47.554	1.6	11.10
130925A	41.186	-26.146	1.0	n/a
130912A	47.606	13.999	1.6	0.28
130907A	215.898	45.602	1.0	>360
130831B	192.454	-29.187	2.1	37.8
130831A	358.635	29.431	1.0	32.5
130822A	27.940	-3.219	3	n/a
130816B	170.049	-57.527	1.6	10.00
130816A	197.093	-58.996	2.6	29.97
130812A	92.387	-13.285	1.0	7.6
130807A	269.801	-27.616	1.7	n/a
130806A	35.907	67.525	1.6	6.1
130803A	220.256	-2.499	1.1	44
130727A	330.790	-65.540	1.0	13.57
130725B	214.233	-11.124	1.2	10.0
130725A	230.060	0.624	2.5	101.8
130722A	260.670	-2.979	3	n/a
130716A	179.581	63.057	2.5	n/a
130701A	357.224	36.100	1.0	4.38
130627B	181.914	-55.706	1.8	28.6
130627A	184.415	-37.114	2.8	30.8
130625A	343.336	82.171	1.3	38.1
130623A	20.723	-77.784	4	15
130615A	274.963	-68.161	2.9	304
130612A	259.771	16.729	2.0	4.0
130610A	224.414	28.187	2.4	46.4
130609B	53.776	-40.168	1.0	210.6
130609A	152.680	24.124	1.2	7.0
130608A	24.597	41.492	2.5	151.38
130606A	249.390	29.796	2.0	276.58
130605A	134.536	-33.477	1.7	12.6
130604A	250.166	68.225	1.1	37.7
130603B	172.222	17.063	1.0	0.18
130603A	86.859	82.910	1.6	76
130529A	24.274	-64.143	1.9	128
130528A	139.405	87.300	1.0	59.4
130527A	309.282	-24.726	1.1	44
130518A	355.671	47.478	2.9	n/a
130515A	283.436	-54.283	1.6	0.29
130514A	296.278	-7.974	1.0	204
130511A	196.654	18.709	2.3	5.43
130508A	305.351	34.966	2.2	42
130505A	137.060	17.485	1.5	88
130504A	272.459	-16.320	1.7	50
130502A	138.579	-0.134	1.8	3.0
130427B	314.900	-22.548	1.4	27.0
130427A	173.150	27.706	1.0	162.83
130420B	183.095	54.376	1.1	10.2
130420A	196.118	59.421	1.0	123.5
130418A	149.045	13.674	1.9	>300
130408A	134.398	-32.363	2.2	28
130327A	91.984	55.732	2.2	9.0
130315A	157.541	-51.794	1.3	233.4
130313A	236.438	-0.355	2.6	0.26
130306A	279.475	-11.682	1.6	n/a
130305A	116.774	52.037	1.8	n/a
130211A	147.524	-42.330	2.1	25.1
130206A	140.387	-58.193	1.9	128.0
130131B	173.957	15.033	1.7	4.30
130131A	171.091	48.064	2.1	51.6
130122A	194.307	59.003	3.0	64
130102A	311.435	49.838	2.3	77.5
121229A	190.095	-50.588	2.8	n/a
121226A	168.620	-30.413	2.0	1.00
121217A	153.708	-62.354	1.0	778
121212A	177.787	78.052	2.1	6.8
121211A	195.575	30.173	4.9	182
121209A	326.800	-8.232	1.7	42.7
121202A	256.790	23.942	1.2	20.1
121201A	13.473	-42.929	2.3	85
121128A	300.589	54.301	1.0	23.3
121125A	228.519	55.318	1.2	52.2
121123A	307.334	-11.873	1.8	317
121117A	31.617	7.432	1.1	30
121108A	83.216	54.520	2.2	89
121102A	270.896	-16.951	1.0	24.7
121031A	170.772	-3.513	1.0	226
121028A	271.903	-2.298	1.5	3.8
121027A	63.598	-58.839	1.0	62.6
121024A	70.481	-12.255	1.7	69
121017A	288.820	-1.602	1.5	4.2
121011A	260.204	41.123	1.8	75.6
121001A	276.029	-5.667	2.4	147
120927A	136.606	0.420	1.0	43
120923A	303.781	6.255	2.1	27.2
120922A	234.758	-20.181	1.2	173
120911A	357.966	63.090	1.6	17.8
120909A	275.735	-59.432	1.2	n/a
120907A	74.736	-9.323	2.0	16.9
120819A	235.887	-7.304	2.9	71
120817A	250.692	-38.377	1.5	28.2
120816A	282.133	-6.981	2.5	7.6
120815A	273.976	-52.125	1.8	9.7
120811C	199.690	62.297	1.0	26.8
120811A	257.184	-22.735	2.6	166
120807A	241.273	-47.455	2.1	20.0
120805A	216.536	5.853	2.2	48.00
120804A	233.951	-28.768	1.0	0.81
120803B	314.223	53.298	1.0	37.5
120802A	44.833	13.762	1.1	50
120729A	13.078	49.936	1.0	71.5
120728A	137.085	-54.437	1.4	22.06
120724A	245.193	3.535	2.1	72.8
120722A	230.489	13.249	3.4	42.4
120714A	167.975	-30.625	1.6	16.2
120712A	169.598	-20.051	1.0	14.7
120711B	331.710	59.996	3.2	60
120703A	339.353	-29.726	1.0	25.2
120701A	80.338	-58.531	1.3	13.8
120612A	126.723	-17.598	1.7	90
120521C	214.288	42.144	1.0	26.7
120521B	197.016	-52.742	1.6	31.4
120521A	148.692	-49.422	1.7	0.45
120514A	283.002	-4.258	1.1	164.4
120422A	136.915	13.974	2.0	5.35
120404A	235.002	12.883	1.2	38.7
120403B	54.302	-89.029	2.4	7.3
120401A	58.057	-17.658	2.5	n/a
120328A	241.607	-39.322	1.8	24.2
120327A	246.854	-29.415	1.1	62.9
120326A	273.906	69.248	1.0	69.6
120324A	291.081	24.140	1.1	118
120320A	212.517	8.682	1.6	25.74
120312A	251.812	23.881	2.1	14.2
120311B	258.551	-13.068	1.3	28.2
120311A	273.075	14.297	1.1	3.5
120308A	219.123	79.674	1.3	60.6
120305A	47.549	28.495	1.0	0.10
120302A	122.426	29.642	2.3	n/a
120224A	40.937	-17.779	2.4	8.13
120219A	129.862	51.006	2.2	90.5
120215A	30.057	8.790	2.3	26.5
120213A	300.987	65.413	1.0	48.9
120212A	43.086	-18.043	1.6	5.52
120211A	87.781	-24.795	2.1	61.7
120121A	249.363	-23.963	1.4	26.1
120119A	120.029	-9.076	1.0	253.8
120118B	124.862	-7.178	1.3	23.26
120116A	16.240	33.927	1.0	41.0
120106A	66.129	64.050	1.3	61.6
120102A	276.224	24.713	1.0	38.7
111229A	76.561	-84.687	2.7	25.4
111228A	150.063	18.284	1.4	101.20
111225A	13.158	51.573	1.3	106.8
111215A	349.582	32.440	4.2	796
111212A	310.442	-68.585	1.8	n/a
111210A	191.493	-7.173	1.7	2.52
111209A	14.350	-46.799	1.0	n/a
111208A	290.2151	40.6686	2.2	n/a
111204A	336.651	-31.414	2.2	48.0
111201A	190.4854	32.9935	2.1	n/a
111129A	307.415	-52.722	2.3	7.6
111123A	154.845	-20.639	1.1	290.0
111121A	154.746	-46.670	1.1	119
111109A	118.248	-41.588	1.9	13.0
111107A	129.487	-66.520	1.2	26.6
111103B	265.691	1.605	1.0	167
111029A	44.785	57.101	1.2	7.6
111022B	108.927	49.663	2.0	79.1
111020A	287.029	-38.031	2.1	0.40
111018A	271.482	-3.880	2.0	36
111016A	153.826	27.474	2.2	550
111008A	60.439	-32.708	1.2	63.46
110928A	257.745	36.547	2.3	26.7
110921A	294.094	36.355	1.7	48.00
110915A	310.830	-0.713	1.2	78.76
110820A	343.203	70.298	2.1	256
110818A	317.373	-63.981	1.4	103
110808A	57.322	-44.177	2.7	48
110801A	89.415	80.958	1.1	385
110731A	280.513	-28.536	1.0	38.8
110726A	286.713	56.070	1.7	5.2
110719A	24.570	34.578	1.8	41.0
110715A	237.665	-46.237	1.0	13.0
110709B	164.668	-23.470	1.1	55.6
110709A	238.895	40.918	1.0	44.7
110610A	308.205	74.827	1.0	46.4
110530A	282.045	61.953	2.3	19.6
110521A	120.132	45.818	1.8	13.8
110520A	134.363	56.418	1.1	15.7
110503A	132.799	52.211	1.0	10.0
110422A	112.057	75.100	1.0	25.9
110420A	2.164	-37.877	1.0	11.8
110414A	97.876	24.349	1.6	152.0
110411A	291.427	67.706	1.0	80.3
110407A	186.022	15.726	1.5	145
110402A	197.432	61.247	1.7	60.9
110319B	326.088	-56.774	1.0	14.5
110319A	356.510	-66.008	1.0	19.3
110318B	211.691	-51.577	1.7	4.8
110315A	279.205	17.537	1.0	77
110312A	157.500	-5.259	2.3	28.7
110305A	260.877	-15.810	1.9	12.0
110223B	150.340	-68.329	2.0	54.0
110223A	345.386	87.586	2.5	7.0
110213A	42.978	49.278	1.4	48.0
110210A	13.108	7.778	3.2	233
110208A	22.487	-20.561	1.8	37.4
110205A	164.603	67.533	2.2	257
110128A	193.871	28.108	2.3	30.7
110119A	348.589	5.982	1.5	208
110112A	329.936	26.470	2.6	0.5
110107A	299.890	41.889	3	n/a
110106B	134.155	47.005	1.2	24.8
110106A	79.295	64.199	2.0	4.3
110102A	245.877	7.617	1.8	264
101225A	0.2037	44.5739	3.6	1088.0
101224A	285.939	45.706	2.1	0.2
101219B	12.259	-34.556	3.9	34
101219A	74.586	-2.527	1.0	0.6
101213A	241.297	21.905	1.1	135
101204A	167.548	-20.434	n/a	n/a
101201A	1.955	-16.196	2	n/a
101117B	172.991	-72.651	1.1	5.2
101114A	303.193	14.029	1.8	>10
101030A	166.390	-16.389	1.1	92.0
101024A	66.465	-77.261	1.1	18.7
101023A	317.949	-65.389	1.4	80.8
101017A	291.377	-35.141	1.0	70.0
101011A	48.274	-65.990	1.2	71.5
101008A	328.882	37.060	2.1	104
100915A	315.664	65.676	2.0	200
100906A	28.697	55.634	1.0	114.4
100905A	31.542	14.919	1.7	3.4
100902A	48.626	30.970	1.3	428.8
100901A	27.252	22.751	3.5	439
100823A	20.706	5.848	1.4	16.9
100816A	351.738	26.568	1.0	2.9
100814A	22.479	-17.990	1.0	174.5
100807A	55.283	67.665	1.9	7.9
100805A	299.846	52.618	2.0	15.0
100802A	2.482	47.752	1.1	487
100728B	44.051	0.296	1.5	12.1
100728A	88.753	-15.259	1.0	198.5
100727A	154.187	-21.417	1.6	84
100725B	290.029	76.955	1.2	200
100725A	166.468	-26.667	1.2	141
100724A	194.569	-11.095	1.7	1.4
100704A	133.639	-24.202	1.0	197.5
100625A	15.796	-39.091	1.0	0.33
100621A	315.309	-51.102	1.0	63.6
100619A	84.618	-27.012	1.0	97.5
100615A	177.208	-19.483	1.0	39
100614A	263.534	49.232	1.6	225
100606A	350.617	-66.234	1.1	480
100526A	230.792	25.623	2.0	102
100522A	6.990	9.397	1.0	35.3
100514A	328.821	29.170	3	n/a
100513A	169.606	3.617	1.5	84
100508A	76.263	-20.744	2.2	52
100504A	255.575	-35.590	1.0	97.3
100425A	299.161	-26.463	2.4	37.0
100424A	209.453	1.512	1.5	104
100420A	296.090	55.755	4.6	48
100418A	256.358	11.457	1.9	7.0
100413A	266.223	15.835	1.5	191
100316D	107.599	-56.275	3.0	n/a
100316C	32.309	-67.992	2.0	9.3
100316B	163.499	-45.464	1.4	3.8
100316A	251.953	71.819	1.7	7.0
100305A	168.373	42.381	1.9	69.7
100302A	195.504	74.568	1.7	17.9
100219A	154.202	-12.555	2.5	18.8
100213B	124.320	43.464	1.4	48.0
100213A	349.379	43.370	1.4	2.4
100212A	356.445	49.492	2.1	136
100206A	47.168	13.175	1.5	0.12
100205A	141.385	31.740	2.1	26.0
100117A	11.280	-1.586	1.7	0.3
100115A	3.333	-0.817	4	~3
100111A	247.029	15.539	1.2	12.9
091221	55.798	23.243	1.4	68.5
091208B	29.411	16.881	1.2	14.9
091130B	203.149	34.086	1.3	112.5
091127	36.581	-18.948	1.2	7.1
091109B	112.750	-54.092	1.2	0.3
091109A	309.252	-44.177	2.1	48
091104	208.723	47.391	2.6	99.3
091102	72.622	-72.527	1.2	6.6
091029	60.166	-55.954	1.0	39.2
091026	276.657	-86.113	1.1	41.6
091020	175.727	50.977	1.0	34.6
091018	32.191	-57.546	1.0	4.4
090929B	117.712	-0.645	1.4	360
090927	343.929	-70.973	1.6	2.2
090926B	46.310	-38.997	1.0	109.7
090915	237.990	15.480	3	8
090912	188.046	61.475	1.2	144.0
090904B	264.194	-25.219	1.2	47.0
090904A	100.855	50.235	3.0	122
090831C	108.294	-25.112	2.1	3.3
090814A	239.613	25.586	2.0	80
090813	225.065	88.571	1.3	7.1
090812	353.20	-10.609	1.0	66.7
090809	328.665	-0.083	2.0	5.4
090807	273.741	10.279	1.8	140.8
090728	29.644	41.632	1.9	59
090727	315.917	64.937	2.2	302
090726	248.681	72.866	1.7	67.0
090720	203.694	-10.335	3	n/a
090715B	251.337	44.837	1.0	266
090709A	289.944	60.728	1.0	89
090628	237.038	-15.969	1.7	20.1
090621B	313.455	69.034	1.7	0.14
090621A	10.987	61.938	1.7	n/a
090618	294.008	78.352	0.46	113.2
090530	179.400	26.590	1.9	48
090529	212.446	24.450	2.0	>100
090519	142.317	0.190	2.0	64
090518	119.957	0.778	1.2	6.9
090516A	138.246	-11.848	1.5	210
090515	164.166	14.469	2.1	0.036
090510	333.552	-26.598	1.7	0.3
090429B	210.672	32.167	1.3	5.5
090429A	90.573	-52.389	1.7	188
090426	189.082	32.978	1.7	1.2
090424	189.531	16.829	1.0	48
090423	148.891	18.165	1.1	10.3
090422	294.746	40.398	2.0	8.5
090419	197.006	-75.615	2.1	450
090418A	269.320	33.407	1.4	56
090417B	209.687	47.015	~1	>260
090407	68.979	-12.684	2.2	310
090404	239.233	35.518	1.0	84
090401B	95.095	-8.963	1.0	183
090313	198.400	8.086	2.2	79
090309A	284.978	-25.274	2.3	3.0
090308A	183.545	-48.754	3.4	48
090307A	245.007	-28.647	3.3	22
090205	220.917	-27.848	2.0	8.8
090201	92.051	-46.604	1.0	83
090123	6.794	-23.503	1.5	131
090113	32.067	33.436	1.0	9.1
090111	251.656	0.067	1.4	24.8
090102	128.248	33.107	1.4	27.0
081230	37.330	-25.145	1.4	60.7
081228	39.477	30.833	2.3	3.0
081222	22.748	-34.095	1.0	24
081221	15.801	-24.542	1.0	34
081211B	168.231	53.845	3.04	n/a
081211A	328.082	-33.818	2.3	3.5
081210	70.485	-11.263	1.0	146
081203B	228.789	44.427	3.04	23.4
081203A	233.071	63.514	1.1	294
081128	20.800	38.123	1.0	100
081127	332.075	6.858	2.4	37
081126	323.526	48.714	1.0	54
081121	89.282	-60.612	1.4	14
081118	82.572	-43.305	1.6	67
081109A	330.798	-54.711	1.0	190
081104	100.500	-54.722	1.3	59.1
081102	331.178	52.991	1.1	63
081029	346.776	-68.179	2.2	270
081028A	121.893	2.305	1.2	260
081024A	27.891	61.352	1.7	1.8
081016B	14.582	-43.536	2.3	2.6
081012	30.184	-17.627	1.8	29
081011	220.363	33.548	2.3	9
081008	279.968	-57.433	1.1	185.5
081007	339.963	-40.146	1.5	10.0
080928	95.061	-55.176	2.3	280
080919	265.221	-42.375	1.9	0.6
080916B	163.632	69.061	2.1	32
080916A	336.289	-57.026	1.0	60
080913	65.741	-25.127	1.5	8
080906	228.055	-80.540	1.7	147
080905B	301.746	-62.568	1.9	128
080905A	287.663	-18.865	2.1	1.0
080903	86.790	51.256	1.0	66
080810	356.783	0.310	1.2	106
080805	314.231	-62.433	1.0	78
080804	328.675	-53.189	1.2	34
080727C	32.638	64.130	1.0	79.7
080727B	276.871	1.173	1.0	8.6
080727A	208.416	-18.572	2.4	4.9
080723A	274.461	-6.910	1.6	17.3
080721	224.481	-11.709	1.3	16.2
080714	188.104	-60.274	1.0	33
080710	8.259	19.484	2.3	120
080707	32.627	33.100	1.8	27.1
080703	101.822	-63.211	2.2	3.4
080702B	355.616	-5.424	3.5	20
080702A	313.049	72.278	3.0	0.5
080701	45.944	75.481	1.4	18
080623	237.667	-62.044	1.4	15.2
080613B	173.806	-7.102	1.0	105
080607	194.964	15.910	1.0	79
080605	262.130	4.010	1.0	20
080604	236.960	20.557	2.0	82
080603B	176.554	68.061	1.0	60
080602	19.177	-9.239	1.7	74
080523	20.769	-64.060	1.7	102
080520	280.179	-54.964	2.4	2.8
080517	102.274	50.741	2.4	64.6
080516	120.661	-26.146	2.1	5.8
080506	329.467	38.961	2.5	150
080503	286.686	68.803	3.5	170
080430	165.331	51.682	1.0	16.2
080426	26.510	69.469	1.1	1.7
080413B	326.138	-19.981	1.0	8.0
080413A	287.301	-27.677	1.0	46
080411	37.961	-71.297	1.0	56
080409	84.304	5.078	2.0	20.2
080328	80.490	47.523	1.0	90.6
080325	277.906	36.516	2.0	128.4
080320	177.763	57.162	1.8	14
080319D	99.479	23.982	2.6	24
080319C	259.006	55.393	1.0	34
080319B	217.919	36.300	1.0	>50
080319A	206.352	44.080	1.7	64
080310	220.040	-0.164	1.4	365
080307	136.629	35.151	1.6	125.9
080303	112.019	-70.231	1.6	67
080229A	228.220	-14.697	1.5	64
080218B	177.927	-53.086	2.0	6.2
080212	231.145	-22.739	1.5	123
080210	251.259	13.826	1.1	45
080207	207.514	7.492	1.2	340
080205	98.261	62.782	1.5	106.5
080130	261.632	-53.190	2.8	65
080129	105.297	-7.840	2.4	48
080123	338.974	-64.930	4.1	115
071227	58.132	-55.959	1.7	1.8
071122	276.576	47.102	2.3	68.7
071118	299.839	70.130	2.7	71
071117	335.026	-63.442	1.0	6.6
071112C	39.218	28.368	1.0	15
071031	6.399	-58.048	2.1	180
071028A	119.828	21.473	2.2	27.0
071025	355.065	31.784	1.3	109
071001	149.707	-59.763	2	58.5
070810A	189.947	10.747	1.3	11.0
070808	6.761	1.180	1.2	32
070802	36.903	-55.517	2.0	16.4
070729	56.296	-39.330	2.2	0.9
070724A	27.824	-18.610	1.2	0.4
070721B	33.128	-2.198	1.2	340
070721A	3.144	-28.530	2.3	3.4
070714B	57.853	28.294	1.4	64
070714A	42.933	30.241	1.3	2.0
070704	354.707	66.257	1.6	380
070628	115.271	-20.281	1.3	39.1
070621	323.806	-24.809	1.0	33.3
070616	32.096	56.946	2.6	402.400
070612B	261.716	-8.747	1.1	13.500
070611	2.004	-29.756	1.9	12.200
070531	6.714	74.315	1.7	44.500
070529	283.717	20.648	1.7	109.200
070521	242.659	30.260	1.1	37.900
070520B	121.886	57.588	1.8	65.800
070520A	193.255	75.005	2.2	18.100
070518	254.219	55.289	1.8	5.500
070509	237.874	-78.657	1.7	7.700
070508	312.832	-78.382	1.0	20.900
070506	347.203	10.711	1.9	4.300
070429B	328.006	-38.857	1.8	0.470
070429A	297.695	-32.420	2.5	163.300
070420	121.245	-45.564	1.0	76.500
070419B	315.709	-31.266	1.0	236.400
070419A	182.755	39.903	2.3	115.600
070412	181.525	40.133	1.5	33.800
070411	107.342	1.061	1.5	121.500
070330	269.533	-63.799	1.9	9.000
070328	65.113	-34.079	1.0	75.300
070318	48.486	-42.950	1.0	74.600
070306	148.154	10.440	2.7	209.500
070227	120.578	-46.302	2.3	7
070224	178.988	-13.355	2.0	34.500
070223	153.453	43.132	1.2	88.500
070220	34.800	68.800	1.0	129.000
070219	260.220	69.345	1.9	16.600
070208	197.891	61.942	3.6	47.700
070129	36.995	11.728	2.7	460.600
070110	0.934	-52.978	1.1	88.400
070107	159.422	-53.202	1.1	347.300
070103	352.581	26.823	2.7	18.600
061222B	105.353	-25.866	1.2	40.000
061222A	358.254	46.524	1.2	71.400
061217	160.403	-21.152	2.2	0.210
061202	105.255	-74.602	4.0	91.200
061201	332.079	-74.568	1.2	0.760
061126	86.615	64.204	1.0	70.800
061121	147.228	-13.188	1.0	81.300
061110B	323.912	6.872	1.6	134.000
061110A	336.284	-2.252	1.1	40.700
061102	148.394	-17.022	2.6	45.600
061028	97.193	46.290	2.5	106.200
061021	145.146	-21.953	1.0	46.200
061019	91.675	29.527	3.1	183.800
061007	46.299	-50.496	1.0	75.300
061006	110.998	-79.195	1.8	129.900
061004	97.795	-45.903	1.0	6.200
061002	220.356	48.726	1.7	17.600
060929	263.148	29.825	2.8	554.000
060927	329.547	5.370	1.0	22.500
060926	263.926	13.039	1.4	8.000
060923B	238.193	-30.907	1.6	8.600
060923A	254.623	12.341	2.1	51.700
060919	276.900	-50.994	1.6	9.100
060912A	5.285	20.971	1.0	5.000
060908	31.828	0.335	1.1	19.300
060906	40.709	30.362	2.5	43.500
060904B	58.218	-0.729	1.0	171.500
060825	18.132	55.796	1.0	8.000
060814	221.338	20.591	1.0	145.300
060813	111.890	-29.844	1.0	16.100
060807	252.520	31.591	1.8	54.000
060805A	220.928	12.580	2.7	5.300
060804	112.219	-27.225	1.9	17.800
060801	212.989	16.988	1.8	0.490
060729	95.287	-62.221	4.1	115.300
060719	18.420	-48.381	1.3	66.900
060717	170.857	28.982	2.6	3.000
060714	227.855	-6.544	1.5	115.000
060712	184.067	35.540	2.2	26.300
060708	7.831	-33.751	1.0	10.200
060707	357.069	-17.904	1.4	66.200
060614	320.877	-53.027	1.0	108.700
060607A	329.705	-22.496	1.0	102.200
060605	322.128	-6.071	1.9	79.100
060604	337.224	-10.945	3.7	95.000
060526	232.834	0.288	1.4	298.200
060522	322.954	2.895	1.5	71.100
060515	127.277	73.561	1.5	52.000
060512	195.748	41.209	1.9	8.500
060510B	239.259	78.591	1.9	275.200
060510A	95.860	-1.163	1.3	20.400
060507	89.911	75.250	1.1	183.300
060505	331.772	-27.815	3.9	~4
060502B	278.927	52.618	2.4	0.131
060502A	240.937	66.604	1.0	28.400
060428B	235.369	62.016	1.6	57.900
060428A	123.540	-37.167	1.0	39.500
060421	343.629	62.730	1.0	12.200
060418	236.431	-3.640	1.0	103.100
060413	291.287	13.746	1.9	147.700
060403	282.338	8.327	1.0	30.100
060323	174.421	50.000	1.4	25.400
060319	176.379	60.038	2.0	10.600
060313	66.625	-10.858	1.0	0.740
060306	41.097	-2.163	1.0	61.200
060223B	254.238	-30.812	1.0	10.300
060223A	55.186	-17.134	1.2	11.300
060219	241.851	32.309	2.1	62.100
060218	50.380	16.910	2.5	~2100
060211B	75.085	14.959	1.8	27.700
060211A	58.381	21.489	1.5	126.300
060210	57.727	27.015	1.0	255.000
060206	202.933	35.046	1.0	7.600
060204B	211.805	27.675	1.0	139.400
060203	103.463	71.841	1.8	68.200
060202	35.809	38.377	2.1	198.900
060124	77.097	69.727	1.6	~750
060123	179.750	45.513	n/a	900
060116	84.698	-5.438	1.7	105.900
060115	54.007	17.339	2.0	139.600
060111B	286.456	70.380	1.5	58.800
060111A	276.193	37.600	1.0	13.200
060109	282.735	32.011	3.0	115.400
060108	147.013	31.935	1.3	14.300
060105	297.485	46.356	1.0	54.400
051221B	312.378	53.041	1.6	39.900
051221A	328.715	16.888	1.0	1.400
051210	330.192	-57.622	1.9	1.300
051117B	85.205	-19.286	2.4	9.000
051117A	228.398	30.868	1.0	136.300
051111	348.136	18.367	1.0	46.100
051109B	345.469	38.663	2.0	14.300
051109A	330.316	40.850	1.9	37.200
051021B	126.059	-45.534	1.3	46.500
051016B	132.123	13.629	1.6	4.000
051016A	122.814	-18.299	2.0	23.000
051008	202.865	42.103	1.0	>32
051006	110.807	9.510	1.4	34.800
051001	350.984	-31.515	2.3	189.100
050922C	317.383	-8.764	1.0	4.500
050922B	5.790	-5.607	2.6	150.900
050916	135.979	-51.406	2.9	49.500
050915B	219.109	-67.411	1.0	40.900
050915A	81.688	-28.014	1.4	52.000
050908	20.457	-12.950	1.5	19.400
050906	52.802	-14.621	3.3	0.258
050827	64.294	18.219	1.0	50.000
050826	87.761	-2.658	2.0	35.500
050824	12.264	22.602	2.1	22.600
050822	51.106	-46.030	1.7	103.400
050820A	337.416	19.560	1.1	26
050819	358.751	24.871	2.0	37.700
050815	293.584	9.139	1.9	2.900
050814	264.196	46.324	2.0	150.900
050813	242.001	11.244	2.8	0.450
050803	350.650	5.788	1.2	87.900
050802	219.283	27.799	1.3	19.000
050801	204.144	-21.930	1.5	19.400
050730	212.069	-3.754	1.3	156.500
050726	200.024	-32.064	1.8	49.900
050724	246.175	-27.526	1.9	96.000
050721	253.453	-28.386	1.9	98.400
050717	214.348	-50.541	1.0	85.000
050716	338.593	38.683	1.0	69.100
050714B	169.691	-15.547	2.4	46.700
050713B	307.821	60.936	2.1	54.200
050713A	320.585	77.072	1.0	124.700
050712	77.722	64.924	1.7	51.600
050701	227.241	-59.399	2.0	21.800
050603	39.982	-25.175	1.1	12.400
050525A	278.142	26.335	1.0	8.800
050509B	189.046	28.974	2.5	0.073
050509A	310.573	54.076	1.2	11.400
050505	141.760	30.266	1.3	58.900
050502B	142.535	16.987	1.2	17.700
050421	307.341	73.678	2.7	15.000
050416A	188.485	21.058	1.5	2.500
050410	89.757	79.605	1.1	42.500
050406	34.410	-50.180	2.5	5.400
050326	6.871	-71.377	1.0	29.300
050319	154.172	43.581	2.4	152.500
050318	49.695	-46.386	1.0	32
050315	306.476	-42.591	1.1	95.600
050306	282.309	-9.152	1.0	158.300
050223	271.394	-62.465	1.5	22.500
050219B	81.306	-57.758	1.0	30.700
050219A	166.416	-40.681	1.0	23.700
050215B	174.463	40.797	1.6	8.100
050128	219.587	-34.765	1.1	19.200
050124	192.877	13.039	1.0	4.000
050117	358.479	65.939	1.0	166.600
