GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
201221A	214.488	-45.406	1.6	44.5
201216C	16.364	16.538	1.0	48.0
201209A	23.096	-1.762	1.1	48.0
201203A	38.055	-26.505	1.9	12.18
201128A	223.091	26.716	2.4	5.41
201104B	5.215	7.834	1.0	8.66
201029A	229.607	44.473	2.0	120.55
201027A	155.954	-5.499	1.9	546.73
201026A	196.696	83.807	1.2	135.38
201024A	125.959	3.357	1.6	5.00
201021C	12.503	-55.862	1.3	24.38
201020A	261.239	31.428	1.2	14.17
201017A	36.587	66.663	2.3	22.08
201015A	354.310	53.446	2.9	9.78
201014A	20.834	27.722	2.5	36.2
201013A	107.392	57.031	1.0	7.36
201008A	161.744	46.101	5	~2.5
201006A	61.917	65.148	2.1	0.49
201001A	110.050	-2.213	1.9	15.2
200925B	246.892	78.393	1.2	18.25
200922A	296.954	-55.199	1.0	10.30
200917A	235.742	-4.695	2.0	19.4
200907B	89.019	6.905	1.8	0.83
200906A	272.284	67.887	1.4	70.90
200901B	217.860	-38.704	3.0	705.94
200901A	61.759	-59.901	1.1	20.37
200829A	251.136	72.363	1.8	13.04
200819A	21.527	63.061	2.1	23.62
200809B	15.9406	-73.8459	4	n/a
200806A	52.933	37.076	1.0	38.8
200729A	184.360	45.571	2.3	122.0
200716C	196.011	29.636	1.0	86
200714E	196.8656	-51.6403	5	n/a
200713A	76.941	-32.846	2.8	48.98
200711A	285.975	-0.134	1.4	29.39
200630A	91.389	-60.779	1.9	14.83
200612A	302.691	-45.354	1.5	171.48
200529A	238.756	-11.076	1.2	79.57
200528A	176.637	58.185	1.0	58.7
200522A	5.668	-0.264	1.6	0.62
200519A	255.319	-30.393	1.0	71.88
200512A	7.417	-2.217	1.5	74.0
200509A	116.415	-4.634	1.7	828.2
200425A	85.217	-13.399	2.0	81.0
200416A	335.691	-7.525	1.4	5.04
200411A	47.686	-52.320	1.6	0.22
200410A	299.644	51.745	2.9	108.8
200409A	60.555	-50.243	2.7	17.91
200324A	222.682	35.931	1.1	n/a
200306C	198.577	11.263	1.3	53.5
200306A	101.114	-62.010	1.0	32.87
200303A	212.695	51.358	1.0	94.2
200228B	252.007	16.964	2.5	7.37
200227A	56.433	9.489	1.0	32.8
200224A	248.743	41.666	3.5	45.0
